m,x,y,z,vx,vy,vz
9.999999999999999547e-08,3.179680769255928130e+00,2.940885458600860147e+00,3.041539525888462547e-01,-2.032631918437840746e+00,2.205046855168397713e+00,1.983357608164935115e-01
9.999999999999999547e-08,1.464145760604871072e+01,1.443049722502276211e+01,1.357863413537441888e+00,-9.805525605641316478e-01,9.882645998640506857e-01,-2.588656815645430653e-02
9.999999999999999547e-08,-1.432020227042750893e+00,-1.623750770081149319e+00,-1.568585023966109493e-01,3.160579982925571407e+00,-2.869905103530521639e+00,-9.900836892327384564e-02
9.999999999999999547e-08,-5.140726590994640910e-01,-2.493708745099907631e+01,-7.197570925875567127e-01,1.247571874815355919e+00,1.394821526966119607e-02,-1.118034422846890946e-01
9.999999999999999547e-08,3.687046767106686995e-01,-1.653999022414160436e+01,8.288187922277708009e-03,1.544631542522896694e+00,3.523566852959388040e-02,-3.691568045881900989e-02
9.999999999999999547e-08,-7.091875845799513911e+00,7.439465259690350440e-02,-3.042297541225751356e-01,1.950623765897549489e-01,-2.383022900904729902e+00,-7.916720392449737298e-02
9.999999999999999547e-08,-4.776564274353450656e+00,-2.050334155989203655e+00,1.078361727687161646e-02,1.103401477880303405e+00,-2.542884666052067644e+00,9.691687217156399678e-03
9.999999999999999547e-08,2.653097211008801537e+01,-1.001813663393804887e+01,2.823935648914286389e-01,4.098043948350768018e-01,1.128848466084547919e+00,1.697026743551014946e-03
9.999999999999999547e-08,6.582578506232493964e+00,-4.563151248243526581e+00,2.464089084198964885e-01,1.408457715087773732e+00,1.812112883304049626e+00,-4.190439349252598339e-02
9.999999999999999547e-08,1.264017575946487071e+01,-4.491195501415979408e+01,2.397422536172924279e-01,8.781034298797073534e-01,2.529000694847820530e-01,-6.231462269536442583e-02
9.999999999999999547e-08,-3.021626109253983117e+01,1.301414042221370471e+00,2.435228698331243891e+00,-7.097175147816317531e-02,-1.113371062235493092e+00,2.592739150931547276e-02
9.999999999999999547e-08,-1.686463679550423311e+00,1.782527889310651759e+01,-4.847731041468585078e-02,-1.440982653407612668e+00,-2.533933683012169480e-01,-3.687889836515994418e-02
9.999999999999999547e-08,1.634865149418943275e+01,-2.455638755507947479e+01,2.051315277616472255e+00,9.257877891496504308e-01,6.907819101225026737e-01,-3.687532986631617687e-02
9.999999999999999547e-08,5.640381242575687182e-01,-1.100452115648784757e+00,5.882171749307828733e-03,5.083011649175232627e+00,2.471133553873603450e+00,-1.233092985007678694e-01
9.999999999999999547e-08,1.269741462248331310e+01,-4.485339653388881942e+01,2.530079910530382351e-02,8.780944938361551211e-01,3.147504807864758281e-01,2.152139083584330554e-04
9.999999999999999547e-08,-1.854044124320932596e+01,1.753343304607767550e+01,-3.494990845905596166e-02,-8.639936054274408583e-01,-8.450004266809767461e-01,6.294653256214943239e-03
9.999999999999999547e-08,2.328596370090704681e+01,3.234094982231549409e+01,-2.085630001103740749e+00,-8.172374750101939478e-01,5.494406708558582375e-01,-2.434349316648611733e-02
9.999999999999999547e-08,-1.283990471330321570e-01,-4.242973805824060030e+00,8.664314506077971934e-02,3.038294192868317367e+00,-9.534907395713722311e-02,1.380039018082107882e-01
9.999999999999999547e-08,-1.320485254900794558e+01,-2.050265358346815958e+01,6.285911439689003677e-01,1.068909191081454990e+00,-6.890985700151210924e-01,1.044516921065673579e-02
9.999999999999999547e-08,2.467411526617096129e+01,-4.791594013066100111e+00,2.014811890573218935e-03,1.387936658751763863e-01,1.231378185259529356e+00,7.946933966254651803e-04
9.999999999999999547e-08,-1.293005638965041548e+01,-4.651082506244938486e+01,2.701575180813491350e+00,8.591078069397755090e-01,-2.303534014674258612e-01,8.503151889855261117e-03
9.999999999999999547e-08,-8.504528581014026756e+00,2.701148720872001974e+01,1.984470063568796627e+00,-1.125646827409973794e+00,-3.642406862829402625e-01,-5.090685432159126889e-02
9.999999999999999547e-08,-1.517142985882194672e+01,-1.780316673393658533e+01,-1.552993290507731494e-01,1.036843422728712882e+00,-7.978402874838574910e-01,2.659793446934128301e-03
9.999999999999999547e-08,1.205012504624223624e+01,3.341253753091358192e+00,7.535728701151995779e-01,-6.052420495831166702e-01,1.729170192506908288e+00,7.051051578879795334e-02
9.999999999999999547e-08,1.555910248070484414e+01,5.822484517894773504e+00,1.016004063229220655e+00,-5.394173003340999584e-01,1.442364663693843641e+00,-2.651980467669075650e-02
