# t_yr,a_AU,e,n_radyr,RL1_AU,RL2_AU,Ls1,Ls2,Jorb,Jtot,Omega1,Omega2,MB_saturated(super=1),super_synchronous(1),da_dt_AU_per_yr
3.088480801335559590e+03,6.860885076539542660e-02,9.198209558062372948e-02,4.944525820131245268e+02,2.599730129751100238e-02,2.599730129751100238e-02,4.795277104567614331e-05,4.775163613994980964e-05,1.158803792128131782e+00,1.158899496535317430e+00,2.217279931177193220e+01,2.207979688872083912e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.000733777174057497e-07
3.096828046744574294e+03,6.860467547349648199e-02,9.195904964889894950e-02,4.944977213988165090e+02,2.599571919374026388e-02,2.599571919374026388e-02,4.788810877385057626e-05,4.768778304490728929e-05,1.158771008262059699e+00,1.158866584153878332e+00,2.214290023513951056e+01,2.205027196594912553e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.001999694935836601e-07
3.105175292153589453e+03,6.860049831494889616e-02,9.193597080478699279e-02,4.945428878380889728e+02,2.599413638265805557e-02,2.599413638265805557e-02,4.782370679277269152e-05,4.762418483682647814e-05,1.158738210317417971e+00,1.158833658209047490e+00,2.211312151389813963e+01,2.202086489992115759e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.004235940007737029e-07
3.113522537562604612e+03,6.859631892887786686e-02,9.191283869553999730e-02,4.945880852445533833e+02,2.599255272752151041e-02,2.599255272752151041e-02,4.775956397601644247e-05,4.756084043200798890e-05,1.158705397427760797e+00,1.158800717832168869e+00,2.208346262720161590e+01,2.199157518954704571e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.006904513093022469e-07
3.121869782971619316e+03,6.859213774404565589e-02,9.188967761718658256e-02,4.946333089928335767e+02,2.599096839079743926e-02,2.599096839079743926e-02,4.769567771996905558e-05,4.749774728755583341e-05,1.158672570598867635e+00,1.158767764023875158e+00,2.205392237116990728e+01,2.196240165902148433e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.009059428988935985e-07
3.130217028380634474e+03,6.858795557187379044e-02,9.186653971621933090e-02,4.946785503149417309e+02,2.598938367995012530e-02,2.598938367995012530e-02,4.763204775364005255e-05,4.743490516383535135e-05,1.158639731082400814e+00,1.158734798035318203e+00,2.202450062050019497e+01,2.193334419754021525e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.010242261894729583e-07
3.138564273789649633e+03,6.858377303550411419e-02,9.184348606744589805e-02,4.947238024747547911e+02,2.598779883110078140e-02,2.598779883110078140e-02,4.756867156481987678e-05,4.737231160743819627e-05,1.158606877588802986e+00,1.158701818571975295e+00,2.199519621357621801e+01,2.190440167067597699e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.010678570872065232e-07
3.146911519198664791e+03,6.857958953629085530e-02,9.182056788806225445e-02,4.947690719539634756e+02,2.598621361741024552e-02,2.598621361741024552e-02,4.750554895598123778e-05,4.730996645067889547e-05,1.158573999573844882e+00,1.158668815089251458e+00,2.196600905906367629e+01,2.187557400089296777e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.011832057484069962e-07
3.155258764607679495e+03,6.857539842589811807e-02,9.179718956235882743e-02,4.948144307166581939e+02,2.598462551968764092e-02,2.598462551968764092e-02,4.744267422411035007e-05,4.724786408774021981e-05,1.158541104771877217e+00,1.158635795310189120e+00,2.193693651995583949e+01,2.184685859612700654e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.020950250499394563e-07
3.163606010016694654e+03,6.857121106322457138e-02,9.177408798968360315e-02,4.948597558409349517e+02,2.598303884205273653e-02,2.598303884205273653e-02,4.738004951515796878e-05,4.718600666483339044e-05,1.158508210075030798e+00,1.158602776131210765e+00,2.190797958851517890e+01,2.181825644876100512e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.016460482908854669e-07
3.171953255425709813e+03,6.856702020834483380e-02,9.175102431361205346e-02,4.949051256945144246e+02,2.598145084114925063e-02,2.598145084114925063e-02,4.731767262800687574e-05,4.712439203427246797e-05,1.158475279954474635e+00,1.158569722019137105e+00,2.187913724697089535e+01,2.178976656573015802e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.020644145925542940e-07
3.180300500834724517e+03,6.856282784893183435e-02,9.172777716203876774e-02,4.949505187728897795e+02,2.597986227014724078e-02,2.597986227014724078e-02,4.725554124534076954e-05,4.706301793315507606e-05,1.158442354925594442e+00,1.158536673484773072e+00,2.185040842382309023e+01,2.176138790069492757e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.022446576773530126e-07
3.188647746243739675e+03,6.855863296855407851e-02,9.170464217404825091e-02,4.949959460930275554e+02,2.597827274389995222e-02,2.597827274389995222e-02,4.719365383260524523e-05,4.700188287139228546e-05,1.158409394710592677e+00,1.158503590247296655e+00,2.182179240951179011e+01,2.173311976465565820e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.025466692551414087e-07
3.196994991652754834e+03,6.855444053358281109e-02,9.168163719549012047e-02,4.950413538746300901e+02,2.597668414426736183e-02,2.597668414426736183e-02,4.713200996340328699e-05,4.694098645329240413e-05,1.158376439365105259e+00,1.158470512361521765e+00,2.179328900687601234e+01,2.170496197464914800e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.022537095578291599e-07
3.205342237061769993e+03,6.855024034245579823e-02,9.165826163214377265e-02,4.950868526243373822e+02,2.597509260566822215e-02,2.597509260566822215e-02,4.707060475575228637e-05,4.688032388119006786e-05,1.158343456310757746e+00,1.158437407239394590e+00,2.176489595854421921e+01,2.167691231229116156e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.031828970161331291e-07
3.213689482470784696e+03,6.854604080000666066e-02,9.163510111061166918e-02,4.951323513155996352e+02,2.597350131286643021e-02,2.597350131286643021e-02,4.700944098175815247e-05,4.681989791853989613e-05,1.158310453834746623e+00,1.158404283173646743e+00,2.173661454630569168e+01,2.164897205537073077e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.031051854066991244e-07
3.222036727879799855e+03,6.854184183866027236e-02,9.161206107639012497e-02,4.951778506789727317e+02,2.597191024025639894e-02,2.597191024025639894e-02,4.694851510499854351e-05,4.675970509627897496e-05,1.158277441504623084e+00,1.158371149724824356e+00,2.170844313496018430e+01,2.162113959983381761e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.030355692973112680e-07
3.230383973288815014e+03,6.853764149941952988e-02,9.158899075098696219e-02,4.952233719453564049e+02,2.597031864553392411e-02,2.597031864553392411e-02,4.688782448090571465e-05,4.669974282592243762e-05,1.158244418909162965e+00,1.158338006476469673e+00,2.168038050169057485e+01,2.159341374879535991e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.032006410409409159e-07
